word,length,type,unique_to_level,also_appears_in_levels,character_count
档,1,single,yes,none,1
档案,2,compound,yes,none,2
桥梁,2,compound,yes,none,2
梅花,2,compound,yes,none,2
棉,1,single,yes,none,1
楼房,2,compound,yes,none,2
楼道,2,compound,yes,none,2
横,1,single,yes,none,1
次数,2,compound,yes,none,2
欺负,2,compound,yes,none,2
歌唱,2,compound,yes,none,2
歌星,2,compound,yes,none,2
歌词,2,compound,yes,none,2
止,1,single,yes,none,1
正当,2,compound,yes,none,2
此事,2,compound,yes,none,2
此前,2,compound,yes,none,2
此处,2,compound,yes,none,2
此次,2,compound,yes,none,2
此致,2,compound,yes,none,2
死亡,2,compound,yes,none,2
残疾,2,compound,yes,none,2
残疾人,3,compound,yes,none,3
残酷,2,compound,yes,none,2
毁,1,single,yes,none,1
母,1,single,yes,none,1
母女,2,compound,yes,none,2
母子,2,compound,yes,none,2
母鸡,2,compound,yes,none,2
毒品,2,compound,yes,none,2
民主,2,compound,yes,none,2
民工,2,compound,yes,none,2
民意,2,compound,yes,none,2
民歌,2,compound,yes,none,2
民警,2,compound,yes,none,2
气氛,2,compound,yes,none,2
氧气,2,compound,yes,none,2
水泥,2,compound,yes,none,2
求职,2,compound,yes,none,2
没收,2,compound,yes,none,2
治病,2,compound,yes,none,2
沿,1,single,yes,none,1
沿海,2,compound,yes,none,2
沿着,2,compound,yes,none,2
法庭,2,compound,yes,none,2
法语,2,compound,yes,none,2
泡,1,single,yes,none,1
波动,2,compound,yes,none,2
波浪,2,compound,yes,none,2
泥,1,single,yes,none,1
洋,1,single,yes,none,1
洗衣粉,3,compound,yes,none,3
洪水,2,compound,yes,none,2
活跃,2,compound,yes,none,2
派出,2,compound,yes,none,2
流感,2,compound,yes,none,2
测定,2,compound,yes,none,2
浮,1,single,yes,none,1
海军,2,compound,yes,none,2
海外,2,compound,yes,none,2
海底,2,compound,yes,none,2
海报,2,compound,yes,none,2
海洋,2,compound,yes,none,2
海浪,2,compound,yes,none,2
海湾,2,compound,yes,none,2
消灭,2,compound,yes,none,2
消耗,2,compound,yes,none,2
涉及,2,compound,yes,none,2
深化,2,compound,yes,none,2
深深,2,compound,yes,none,1
混,1,single,yes,none,1
混乱,2,compound,yes,none,2
混合,2,compound,yes,none,2
添,1,single,yes,none,1
清,1,single,yes,none,1
清明节,3,compound,yes,none,3
清洁,2,compound,yes,none,2
清洁工,3,compound,yes,none,3
清洗,2,compound,yes,none,2
渠道,2,compound,yes,none,2
渡,1,single,yes,none,1
港口,2,compound,yes,none,2
游人,2,compound,yes,none,2
游戏机,3,compound,yes,none,3
游玩,2,compound,yes,none,2
游行,2,compound,yes,none,2
滴,1,single,yes,none,1
演奏,2,compound,yes,none,2
潜力,2,compound,yes,none,2
激情,2,compound,yes,none,2
火箭,2,compound,yes,none,2
灭,1,single,yes,none,1
灵活,2,compound,yes,none,2
炒,1,single,yes,none,1
炒作,2,compound,yes,none,2
炒股,2,compound,yes,none,2
炮,1,single,yes,none,1
炸,1,single,yes,none,1
炸弹,2,compound,yes,none,2
炸药,2,compound,yes,none,2
烟花,2,compound,yes,none,2
热水,2,compound,yes,none,2
热水器,3,compound,yes,none,3
热点,2,compound,yes,none,2
热线,2,compound,yes,none,2
焦点,2,compound,yes,none,2
照样,2,compound,yes,none,2
照耀,2,compound,yes,none,2
煮,1,single,yes,none,1
爆,1,single,yes,none,1
爆发,2,compound,yes,none,2
爆炸,2,compound,yes,none,2
父女,2,compound,yes,none,2
父子,2,compound,yes,none,2
爽,1,single,yes,none,1
牢,1,single,yes,none,1
物品,2,compound,yes,none,2
牵,1,single,yes,none,1
特,1,single,yes,none,1
特地,2,compound,yes,none,2
特大,2,compound,yes,none,2
特快,2,compound,yes,none,2
特意,2,compound,yes,none,2
牺牲,2,compound,yes,none,2
犯,1,single,yes,none,1
犯罪,2,compound,yes,none,2
犯规,2,compound,yes,none,2
狠,1,single,yes,none,1
猛,1,single,yes,none,1
王后,2,compound,yes,none,2
王子,2,compound,yes,none,2
珠宝,2,compound,yes,none,2
球员,2,compound,yes,none,2
球拍,2,compound,yes,none,2
球星,2,compound,yes,none,2
理,1,single,yes,none,1
理智,2,compound,yes,none,2
理财,2,compound,yes,none,2
生活费,3,compound,yes,none,3
用品,2,compound,yes,none,2
用处,2,compound,yes,none,2
用得着,3,compound,yes,none,3
用心,2,compound,yes,none,2
用法,2,compound,yes,none,2
田,1,single,yes,none,1
田径,2,compound,yes,none,2
电力,2,compound,yes,none,2
电动,2,compound,yes,none,2
电器,2,compound,yes,none,2
电车,2,compound,yes,none,2
畅通,2,compound,yes,none,2
界,1,single,yes,none,1
界,1,single,yes,none,1
留言,2,compound,yes,none,2
番,1,single,yes,none,1
番茄,2,compound,yes,none,2
疼痛,2,compound,yes,none,2
疾病,2,compound,yes,none,2
病情,2,compound,yes,none,2
病房,2,compound,yes,none,2
症状,2,compound,yes,none,2
白领,2,compound,yes,none,2
百分点,3,compound,yes,none,3
皇帝,2,compound,yes,none,2
皮球,2,compound,yes,none,2
监测,2,compound,yes,none,2
监督,2,compound,yes,none,2
盗版,2,compound,yes,none,2
盛行,2,compound,yes,none,2
盲人,2,compound,yes,none,2
直升机,3,compound,yes,none,3
盼望,2,compound,yes,none,2
省钱,2,compound,yes,none,2
看作,2,compound,yes,none,2
看好,2,compound,yes,none,2
看得见,3,compound,yes,none,3
看得起,3,compound,yes,none,3
看管,2,compound,yes,none,2
眼看,2,compound,yes,none,2
知名,2,compound,yes,none,2
短片,2,compound,yes,none,2
矿,1,single,yes,none,1
研发,2,compound,yes,none,2
磨,1,single,yes,none,1
礼堂,2,compound,yes,none,2
祖国,2,compound,yes,none,2
祖母,2,compound,yes,none,2
祖父,2,compound,yes,none,2
祝愿,2,compound,yes,none,2
种种,2,compound,yes,none,1
科研,2,compound,yes,none,2
秘书长,3,compound,yes,none,3
租金,2,compound,yes,none,2
税,1,single,yes,none,1
稿子,2,compound,yes,none,2
空军,2,compound,yes,none,2
窗口,2,compound,yes,none,2
站台,2,compound,yes,none,2
章,1,single,yes,none,1
端,1,single,yes,none,1
端午节,3,compound,yes,none,3
笑声,2,compound,yes,none,2
笑容,2,compound,yes,none,2
笑脸,2,compound,yes,none,2
笔试,2,compound,yes,none,2
策划,2,compound,yes,none,2
策略,2,compound,yes,none,2
简介,2,compound,yes,none,2
算了,2,compound,yes,none,2
算是,2,compound,yes,none,2
管道,2,compound,yes,none,2
箭,1,single,yes,none,1
粥,1,single,yes,none,1
精,1,single,yes,none,1
精品,2,compound,yes,none,2
精美,2,compound,yes,none,2
素质,2,compound,yes,none,2
繁殖,2,compound,yes,none,2
纠正,2,compound,yes,none,2
纠纷,2,compound,yes,none,2
约定,2,compound,yes,none,2
线路,2,compound,yes,none,2
细胞,2,compound,yes,none,2
细菌,2,compound,yes,none,2
织,1,single,yes,none,1
绘画,2,compound,yes,none,2
给予,2,compound,yes,none,2
绝,1,single,yes,none,1
绝大多数,4,compound,yes,none,4
维生素,3,compound,yes,none,3
绿化,2,compound,yes,none,2
编制,2,compound,yes,none,2
缘故,2,compound,yes,none,2
缺陷,2,compound,yes,none,2
网吧,2,compound,yes,none,2
网页,2,compound,yes,none,2
罢了,2,compound,yes,none,2
罢工,2,compound,yes,none,2
罪,1,single,yes,none,1
罪恶,2,compound,yes,none,2
美容,2,compound,yes,none,2
老乡,2,compound,yes,none,2
考场,2,compound,yes,none,2
考题,2,compound,yes,none,2
聊,1,single,yes,none,1
聊天儿,3,compound,yes,none,3
职责,2,compound,yes,none,2
联手,2,compound,yes,none,2
联盟,2,compound,yes,none,2
联赛,2,compound,yes,none,2
聘请,2,compound,yes,none,2
肝,1,single,yes,none,1
股,1,single,yes,none,1
股东,2,compound,yes,none,2
股票,2,compound,yes,none,2
肯,1,single,yes,none,1
肺,1,single,yes,none,1
肿,1,single,yes,none,1
背心,2,compound,yes,none,2
背着,2,compound,yes,none,2
能否,2,compound,yes,none,2
脚印,2,compound,yes,none,2
膜,1,single,yes,none,1
自在,2,compound,yes,none,2
自学,2,compound,yes,none,2
自我,2,compound,yes,none,2
自来水,3,compound,yes,none,3
自言自语,4,compound,yes,none,3
至于,2,compound,yes,none,2
舌头,2,compound,yes,none,2
