word,length,type,unique_to_level,also_appears_in_levels,character_count
火灾,2,compound,yes,none,2
火腿,2,compound,yes,none,2
灰色,2,compound,yes,none,2
灾,1,single,yes,none,1
灾区,2,compound,yes,none,2
灾害,2,compound,yes,none,2
灾难,2,compound,yes,none,2
点燃,2,compound,yes,none,2
烂,1,single,yes,none,1
烤肉,2,compound,yes,none,2
烤鸭,2,compound,yes,none,2
热量,2,compound,yes,none,2
热门,2,compound,yes,none,2
煤,1,single,yes,none,1
煤气,2,compound,yes,none,2
熊,1,single,yes,none,1
熟悉,2,compound,yes,none,2
版,1,single,yes,none,1
牛仔裤,3,compound,yes,none,3
物业,2,compound,yes,none,2
物价,2,compound,yes,none,2
物质,2,compound,yes,none,2
特定,2,compound,yes,none,2
特性,2,compound,yes,none,2
特有,2,compound,yes,none,2
犹豫,2,compound,yes,none,2
狂,1,single,yes,none,1
猜,1,single,yes,none,1
猜测,2,compound,yes,none,2
献,1,single,yes,none,1
猴,1,single,yes,none,1
率领,2,compound,yes,none,2
环节,2,compound,yes,none,2
现有,2,compound,yes,none,2
现状,2,compound,yes,none,2
玻璃,2,compound,yes,none,2
珍惜,2,compound,yes,none,2
珍珠,2,compound,yes,none,2
珍贵,2,compound,yes,none,2
琴,1,single,yes,none,1
生成,2,compound,yes,none,2
用不着,3,compound,yes,none,3
用于,2,compound,yes,none,2
用户,2,compound,yes,none,2
用来,2,compound,yes,none,2
由此,2,compound,yes,none,2
甲,1,single,yes,none,1
电子版,3,compound,yes,none,3
电池,2,compound,yes,none,2
电饭锅,3,compound,yes,none,3
男性,2,compound,yes,none,2
画面,2,compound,yes,none,2
疯,1,single,yes,none,1
疯狂,2,compound,yes,none,2
病毒,2,compound,yes,none,2
瘦,1,single,yes,none,1
白酒,2,compound,yes,none,2
皮肤,2,compound,yes,none,2
皮鞋,2,compound,yes,none,2
盆,1,single,yes,none,1
盒,1,single,yes,none,1
盒子,2,compound,yes,none,2
盒饭,2,compound,yes,none,2
目光,2,compound,yes,none,2
直线,2,compound,yes,none,2
相声,2,compound,yes,none,2
相应,2,compound,yes,none,2
相等,2,compound,yes,none,2
看出,2,compound,yes,none,2
看待,2,compound,yes,none,2
看成,2,compound,yes,none,2
真理,2,compound,yes,none,2
真相,2,compound,yes,none,2
真诚,2,compound,yes,none,2
眼光,2,compound,yes,none,2
睡眠,2,compound,yes,none,2
瞧,1,single,yes,none,1
矛盾,2,compound,yes,none,2
码头,2,compound,yes,none,2
研究所,3,compound,yes,none,3
硕士,2,compound,yes,none,2
硬,1,single,yes,none,1
硬件,2,compound,yes,none,2
确立,2,compound,yes,none,2
碎,1,single,yes,none,1
示范,2,compound,yes,none,2
礼,1,single,yes,none,1
礼拜,2,compound,yes,none,2
礼貌,2,compound,yes,none,2
社,1,single,yes,none,1
社区,2,compound,yes,none,2
祝贺,2,compound,yes,none,2
神,1,single,yes,none,1
神奇,2,compound,yes,none,2
神情,2,compound,yes,none,2
神经,2,compound,yes,none,2
福利,2,compound,yes,none,2
私人,2,compound,yes,none,2
秒,1,single,yes,none,1
称号,2,compound,yes,none,2
稍,1,single,yes,none,1
稍微,2,compound,yes,none,2
空中,2,compound,yes,none,2
突破,2,compound,yes,none,2
窗帘,2,compound,yes,none,2
立,1,single,yes,none,1
立场,2,compound,yes,none,2
竞争,2,compound,yes,none,2
竞赛,2,compound,yes,none,2
竹子,2,compound,yes,none,2
等候,2,compound,yes,none,2
等级,2,compound,yes,none,2
答,1,single,yes,none,1
答复,2,compound,yes,none,2
签,1,single,yes,none,1
签名,2,compound,yes,none,2
签字,2,compound,yes,none,2
签约,2,compound,yes,none,2
签订,2,compound,yes,none,2
签证,2,compound,yes,none,2
糟,1,single,yes,none,1
糟糕,2,compound,yes,none,2
紧紧,2,compound,yes,none,1
紫,1,single,yes,none,1
繁荣,2,compound,yes,none,2
约束,2,compound,yes,none,2
线索,2,compound,yes,none,2
组织,2,compound,yes,none,2
终止,2,compound,yes,none,2
终点,2,compound,yes,none,2
终身,2,compound,yes,none,2
经费,2,compound,yes,none,2
绕,1,single,yes,none,1
绝望,2,compound,yes,none,2
继承,2,compound,yes,none,2
编辑,2,compound,yes,none,2
缺乏,2,compound,yes,none,2
罚,1,single,yes,none,1
罚款,2,compound,yes,none,2
群众,2,compound,yes,none,2
群体,2,compound,yes,none,2
羽毛球,3,compound,yes,none,3
羽绒服,3,compound,yes,none,3
考核,2,compound,yes,none,2
耐心,2,compound,yes,none,2
耳朵,2,compound,yes,none,2
职位,2,compound,yes,none,2
职务,2,compound,yes,none,2
职能,2,compound,yes,none,2
联想,2,compound,yes,none,2
联络,2,compound,yes,none,2
聪明,2,compound,yes,none,2
肌肉,2,compound,yes,none,2
肠,1,single,yes,none,1
肩,1,single,yes,none,1
肯定,2,compound,yes,none,2
胃,1,single,yes,none,1
胆,1,single,yes,none,1
胆小,2,compound,yes,none,2
背包,2,compound,yes,none,2
胜负,2,compound,yes,none,2
胡同儿,3,compound,yes,none,3
胡子,2,compound,yes,none,2
胶带,2,compound,yes,none,2
胶水,2,compound,yes,none,2
能量,2,compound,yes,none,2
脆,1,single,yes,none,1
脑子,2,compound,yes,none,2
脚步,2,compound,yes,none,2
脱离,2,compound,yes,none,2
脸盆,2,compound,yes,none,2
脸色,2,compound,yes,none,2
脾气,2,compound,yes,none,2
自愿,2,compound,yes,none,2
自杀,2,compound,yes,none,2
自豪,2,compound,yes,none,2
臭,1,single,yes,none,1
至,1,single,yes,none,1
舍不得,3,compound,yes,none,3
舍得,2,compound,yes,none,2
舞,1,single,yes,none,1
艰苦,2,compound,yes,none,2
艰难,2,compound,yes,none,2
草原,2,compound,yes,none,2
落实,2,compound,yes,none,2
葡萄,2,compound,yes,none,2
葡萄酒,3,compound,yes,none,3
蔬菜,2,compound,yes,none,2
薄弱,2,compound,yes,none,2
虎,1,single,yes,none,1
虚心,2,compound,yes,none,2
蛇,1,single,yes,none,1
蛋糕,2,compound,yes,none,2
行驶,2,compound,yes,none,2
补偿,2,compound,yes,none,2
补贴,2,compound,yes,none,2
被动,2,compound,yes,none,2
裁判,2,compound,yes,none,2
装饰,2,compound,yes,none,2
西红柿,3,compound,yes,none,3
西装,2,compound,yes,none,2
规划,2,compound,yes,none,2
视为,2,compound,yes,none,2
视频,2,compound,yes,none,2
解放,2,compound,yes,none,2
解除,2,compound,yes,none,2
言语,2,compound,yes,none,2
警告,2,compound,yes,none,2
认,1,single,yes,none,1
认定,2,compound,yes,none,2
讨厌,2,compound,yes,none,2
记忆,2,compound,yes,none,2
许可,2,compound,yes,none,2
设想,2,compound,yes,none,2
证书,2,compound,yes,none,2
证实,2,compound,yes,none,2
评估,2,compound,yes,none,2
评论,2,compound,yes,none,2
诊断,2,compound,yes,none,2
试图,2,compound,yes,none,2
诗歌,2,compound,yes,none,2
